name,school,hashtags
Beck Fisher,laoreet@emailarizona.edu,#America
Harlan Powell,justo.nec.ante@emailarizona.edu,#PETA
Ferris Goff,porttitor.tellus@nau.edu,#BLM
Wylie Houston,penatibus.et@emailarizona.edu,#BLM
Armand Craig,ut.mi.duis@emailarizona.edu,#SaveTheTrees
Maxine Bean,eget@nau.edu,#America
Joel Jackson,sit@nau.edu,#SaveTheTrees
Lester Green,massa.suspendisse@emailarizona.edu,#America
Kirestin Phillips,faucibus.ut@emailarizona.edu,#SaveTheTrees
Magee Rhodes,ac@nau.edu,#SaveTheTrees
Holmes Booth,leo.morbi@emailarizona.edu,#BLM
Chase Jacobson,nec@nau.edu,#SaveTheTrees
Roanna Chan,sem@emailarizona.edu,#America
Samuel Mcbride,lectus.rutrum@nau.edu,#PETA
Florence Wagner,netus.et.malesuada@emailarizona.edu,#VeteransDay
Jacob Townsend,magna@emailarizona.edu,#VeteransDay
Preston Bernard,ac.tellus@emailarizona.edu,#SaveTheTrees
Abdul Paul,nec.tellus.nunc@nau.edu,#VeteransDay
Imelda England,pellentesque@emailarizona.edu,#America
Quin Stephenson,nulla.interdum@emailarizona.edu,#VeteransDay
Arthur Lynn,nunc.sed@emailarizona.edu,#America
Stewart Curtis,ut.nulla.cras@emailarizona.edu,#PETA
Gillian Pittman,neque.pellentesque.massa@nau.edu,#BLM
Rae Marshall,in.sodales@emailarizona.edu,#America
Chester Harrison,morbi.non@emailarizona.edu,#America
Jolie Moreno,luctus.felis@emailarizona.edu,#PETA
Ahmed Gomez,aliquam@nau.edu,#VeteransDay
Kylynn Riggs,aliquam@nau.edu,#BLM
Magee Love,nunc.lectus.pede@nau.edu,#VeteransDay
Russell Rutledge,luctus@emailarizona.edu,#SaveTheTrees
Suki Ross,nunc.lectus.pede@emailarizona.edu,#PETA
Fay Prince,morbi.accumsan@nau.edu,#SaveTheTrees
Suki Sharp,ut.ipsum@emailarizona.edu,#PETA
Norman Holden,elit@emailarizona.edu,#America
Cody Oneil,tellus.lorem@nau.edu,#BLM
Brittany Pollard,luctus@nau.edu,#VeteransDay
Ronan Cash,pede@nau.edu,#PETA
Mallory Gentry,sed@nau.edu,#PETA
Audrey Robertson,vehicula.pellentesque@emailarizona.edu,#VeteransDay
Rachel Lyons,sed@emailarizona.edu,#America
Raymond Sampson,mollis.vitae@nau.edu,#SaveTheTrees
Rafael Hines,viverra.maecenas.iaculis@nau.edu,#PETA
Mariam Herman,non.dapibus@emailarizona.edu,#SaveTheTrees
Ivan Wilder,tortor@nau.edu,#BLM
Brenden Goff,est@nau.edu,#VeteransDay
Illana Donaldson,scelerisque.neque.nullam@nau.edu,#America
Giselle Whitaker,nascetur@nau.edu,#America
Mary Diaz,orci.lacus@nau.edu,#America
Clinton Fleming,luctus.felis@emailarizona.edu,#VeteransDay
